No.;Time;;Time 1;Time 2;Delay;Total Delay;Rata Rata delay;Delay 1;Delay 2;Jitter;Total Jitter;Rata rata jiter
71;9,912255;;9,912255;9,912423;0,000168;;;-1,084148;1,027524;2,111672;;
72;9,912423;;9,912423;10,996739;1,084316;;;1,027524;-0,563061;-1,590585;;
73;10,996739;;10,996739;11,053531;0,056792;;;-0,563061;0,306786;0,869847;;
74;11,053531;;11,053531;11,673384;0,619853;;;0,306786;0,313065;0,006279;;
75;11,673384;;11,673384;11,986451;0,313067;;;0,313065;-0,058509;-0,371574;;
76;11,986451;;11,986451;11,986453;2,00E-06;;;-0,058509;0,048956;0,107465;;
77;11,986453;;11,986453;12,044964;0,058511;;;0,048956;-0,111741;-0,160697;;
78;12,044964;;12,044964;12,054519;0,009555;;;-0,111741;0,063314;0,175055;;
79;12,054519;;12,054519;12,175815;0,121296;;;0,063314;0,054927;-0,008387;;
80;12,175815;;12,175815;12,233797;0,057982;;;0,054927;-0,038768;-0,093695;;
81;12,233797;;12,233797;12,236852;0,003055;;;-0,038768;0,025941;0,064709;;
82;12,236852;;12,236852;12,278675;0,041823;;;0,025941;-0,026382;-0,052323;;
83;12,278675;;12,278675;12,294557;0,015882;;;-0,026382;-0,294305;-0,267923;;
84;12,294557;;12,294557;12,336821;0,042264;;;-0,294305;0,308345;0,60265;;
85;12,336821;;12,336821;12,67339;0,336569;;;0,308345;-0,003883;-0,312228;;
86;12,67339;;12,67339;12,701614;0,028224;;;-0,003883;-0,907822;-0,903939;;
87;12,701614;;12,701614;12,733721;0,032107;;;-0,907822;0,880139;1,787961;;
88;12,733721;;12,733721;13,67365;0,939929;;;0,880139;-2,48765;-3,367789;;
89;13,67365;;13,67365;13,73344;0,05979;;;-2,48765;2,546563;5,034213;;
90;13,73344;;13,73344;16,28088;2,54744;;;2,546563;0,000441;-2,546122;;
91;16,28088;;16,28088;16,281757;0,000877;;;0,000441;-0,004528;-0,004969;;
92;16,281757;;16,281757;16,282193;0,000436;;;-0,004528;-0,030184;-0,025656;;
93;16,282193;;16,282193;16,287157;0,004964;;;-0,030184;0,03485;0,065034;;
94;16,287157;;16,287157;16,322305;0,035148;;;0,03485;-0,008101;-0,042951;;
95;16,322305;;16,322305;16,322603;0,000298;;;-0,008101;-0,020404;-0,012303;;
96;16,322603;;16,322603;16,331002;0,008399;;;-0,020404;0,028802;0,049206;;
97;16,331002;;16,331002;16,359805;0,028803;;;0,028802;-0,000471;-0,029273;;
98;16,359805;;16,359805;16,359806;1,00E-06;;;-0,000471;0,000276;0,000747;;
99;16,359806;;16,359806;16,360278;0,000472;;;0,000276;-7,20E-05;-0,000348;;
100;16,360278;;16,360278;16,360474;0,000196;;;-7,20E-05;-0,001914;-0,001842;;
101;16,360474;;16,360474;16,360742;0,000268;;;-0,001914;0,000364;0,002278;;
102;16,360742;;16,360742;16,362924;0,002182;;;0,000364;0,001284;0,00092;;
103;16,362924;;16,362924;16,364742;0,001818;;;0,001284;-0,000406;-0,00169;;
104;16,364742;;16,364742;16,365276;0,000534;;;-0,000406;-0,002631;-0,002225;;
105;16,365276;;16,365276;16,366216;0,00094;;;-0,002631;0,003201;0,005832;;
106;16,366216;;16,366216;16,369787;0,003571;;;0,003201;-0,027548;-0,030749;;
107;16,369787;;16,369787;16,370157;0,00037;;;-0,027548;0,02782;0,055368;;
108;16,370157;;16,370157;16,398075;0,027918;;;0,02782;-0,002632;-0,030452;;
109;16,398075;;16,398075;16,398173;9,80E-05;;;-0,002632;0,001733;0,004365;;
110;16,398173;;16,398173;16,400903;0,00273;;;0,001733;0,000935;-0,000798;;
111;16,400903;;16,400903;16,4019;0,000997;;;0,000935;-0,001856;-0,002791;;
112;16,4019;;16,4019;16,401962;6,20E-05;;;-0,001856;0,001555;0,003411;;
113;16,401962;;16,401962;16,40388;0,001918;;;0,001555;-0,000317;-0,001872;;
114;16,40388;;16,40388;16,404243;0,000363;;;-0,000317;-0,000813;-0,000496;;
115;16,404243;;16,404243;16,404923;0,00068;;;-0,000813;-1,20E-05;0,000801;;
116;16,404923;;16,404923;16,406416;0,001493;;;-1,20E-05;0,001179;0,001191;;
117;16,406416;;16,406416;16,407921;0,001505;;;0,001179;-0,001329;-0,002508;;
118;16,407921;;16,407921;16,408247;0,000326;;;-0,001329;-0,001063;0,000266;;
119;16,408247;;16,408247;16,409902;0,001655;;;-0,001063;-0,004867;-0,003804;;
120;16,409902;;16,409902;16,41262;0,002718;;;-0,004867;0,004349;0,009216;;
121;16,41262;;16,41262;16,420205;0,007585;;;0,004349;-0,014589;-0,018938;;
122;16,420205;;16,420205;16,423441;0,003236;;;-0,014589;0,015587;0,030176;;
123;16,423441;;16,423441;16,441266;0,017825;;;0,015587;-0,029633;-0,04522;;
124;16,441266;;16,441266;16,443504;0,002238;;;-0,029633;0,031727;0,06136;;
125;16,443504;;16,443504;16,475375;0,031871;;;0,031727;-0,007939;-0,039666;;
126;16,475375;;16,475375;16,475519;0,000144;;;-0,007939;-0,020556;-0,012617;;
127;16,475519;;16,475519;16,483602;0,008083;;;-0,020556;0,01494;0,035496;;
128;16,483602;;16,483602;16,512241;0,028639;;;0,01494;0,013697;-0,001243;;
129;16,512241;;16,512241;16,52594;0,013699;;;0,013697;1,00E-06;-0,013696;;
130;16,52594;;16,52594;16,525942;2,00E-06;;;1,00E-06;-0,001787;-0,001788;;
131;16,525942;;16,525942;16,525943;1,00E-06;;;-0,001787;0,001703;0,00349;;
132;16,525943;;16,525943;16,527731;0,001788;;;0,001703;-0,00437;-0,006073;;
133;16,527731;;16,527731;16,527816;8,50E-05;;;-0,00437;0,004241;0,008611;;
134;16,527816;;16,527816;16,532271;0,004455;;;0,004241;-0,002238;-0,006479;;
135;16,532271;;16,532271;16,532485;0,000214;;;-0,002238;-0,00308;-0,000842;;
136;16,532485;;16,532485;16,534937;0,002452;;;-0,00308;0,005531;0,008611;;
137;16,534937;;16,534937;16,540469;0,005532;;;0,005531;-0,000123;-0,005654;;
138;16,540469;;16,540469;16,54047;1,00E-06;;;-0,000123;-0,02191;-0,021787;;
139;16,54047;;16,54047;16,540594;0,000124;;;-0,02191;0,020304;0,042214;;
140;16,540594;;16,540594;16,562628;0,022034;;;0,020304;0,001728;-0,018576;;
141;16,562628;;16,562628;16,564358;0,00173;;;0,001728;3,55E-15;-0,001728;;
142;16,564358;;16,564358;16,56436;2,00E-06;;;3,55E-15;1,00E-06;1,00E-06;;
143;16,56436;;16,56436;16,564362;2,00E-06;;;1,00E-06;-0,003078;-0,003079;;
144;16,564362;;16,564362;16,564363;1,00E-06;;;-0,003078;-0,002501;0,000577;;
145;16,564363;;16,564363;16,567442;0,003079;;;-0,002501;-0,011653;-0,009152;;
146;16,567442;;16,567442;16,573022;0,00558;;;-0,011653;-0,035052;-0,023399;;
147;16,573022;;16,573022;16,590255;0,017233;;;-0,035052;-0,07927;-0,044218;;
148;16,590255;;16,590255;16,64254;0,052285;;;-0,07927;0,131554;0,210824;;
149;16,64254;;16,64254;16,774095;0,131555;;;0,131554;-0,000481;-0,132035;;
150;16,774095;;16,774095;16,774096;1,00E-06;;;-0,000481;-0,011329;-0,010848;;
151;16,774096;;16,774096;16,774578;0,000482;;;-0,011329;0,011804;0,023133;;
152;16,774578;;16,774578;16,786389;0,011811;;;0,011804;-0,000261;-0,012065;;
153;16,786389;;16,786389;16,786396;7,00E-06;;;-0,000261;0,000266;0,000527;;
154;16,786396;;16,786396;16,786664;0,000268;;;0,000266;-0,000913;-0,001179;;
155;16,786664;;16,786664;16,786666;2,00E-06;;;-0,000913;-0,000876;3,70E-05;;
156;16,786666;;16,786666;16,787581;0,000915;;;-0,000876;0,001784;0,00266;;
157;16,787581;;16,787581;16,789372;0,001791;;;0,001784;-0,000519;-0,002303;;
158;16,789372;;16,789372;16,789379;7,00E-06;;;-0,000519;0,000524;0,001043;;
159;16,789379;;16,789379;16,789905;0,000526;;;0,000524;-5,30E-05;-0,000577;;
160;16,789905;;16,789905;16,789907;2,00E-06;;;-5,30E-05;-0,000445;-0,000392;;
161;16,789907;;16,789907;16,789962;5,50E-05;;;-0,000445;0,00048;0,000925;;
162;16,789962;;16,789962;16,790462;0,0005;;;0,00048;-0,000365;-0,000845;;
163;16,790462;;16,790462;16,790482;2,00E-05;;;-0,000365;0,000286;0,000651;;
164;16,790482;;16,790482;16,790867;0,000385;;;0,000286;-0,000301;-0,000587;;
165;16,790867;;16,790867;16,790966;9,90E-05;;;-0,000301;-0,001452;-0,001151;;
166;16,790966;;16,790966;16,791366;0,0004;;;-0,001452;0,00185;0,003302;;
167;16,791366;;16,791366;16,793218;0,001852;;;0,00185;-0,000676;-0,002526;;
168;16,793218;;16,793218;16,79322;2,00E-06;;;-0,000676;0,000261;0,000937;;
169;16,79322;;16,79322;16,793898;0,000678;;;0,000261;-0,001123;-0,001384;;
170;16,793898;;16,793898;16,794315;0,000417;;;-0,001123;0,000846;0,001969;;
171;16,794315;;16,794315;16,795855;0,00154;;;0,000846;-0,009249;-0,010095;;
172;16,795855;;16,795855;16,796549;0,000694;;;-0,009249;0,009941;0,01919;;
173;16,796549;;16,796549;16,806492;0,009943;;;0,009941;-0,000513;-0,010454;;
174;16,806492;;16,806492;16,806494;2,00E-06;;;-0,000513;-0,006896;-0,006383;;
175;16,806494;;16,806494;16,807009;0,000515;;;-0,006896;0,00741;0,014306;;
176;16,807009;;16,807009;16,81442;0,007411;;;0,00741;-0,000708;-0,008118;;
177;16,81442;;16,81442;16,814421;1,00E-06;;;-0,000708;-0,003598;-0,00289;;
178;16,814421;;16,814421;16,81513;0,000709;;;-0,003598;0,004299;0,007897;;
179;16,81513;;16,81513;16,819437;0,004307;;;0,004299;7,00E-06;-0,004292;;
180;16,819437;;16,819437;16,819445;8,00E-06;;;7,00E-06;-0,000622;-0,000629;;
181;16,819445;;16,819445;16,819446;1,00E-06;;;-0,000622;-0,005906;-0,005284;;
182;16,819446;;16,819446;16,820069;0,000623;;;-0,005906;0,006527;0,012433;;
183;16,820069;;16,820069;16,826598;0,006529;;;0,006527;-0,000176;-0,006703;;
184;16,826598;;16,826598;16,8266;2,00E-06;;;-0,000176;-0,000347;-0,000171;;
185;16,8266;;16,8266;16,826778;0,000178;;;-0,000347;-0,000337;1,00E-05;;
186;16,826778;;16,826778;16,827303;0,000525;;;-0,000337;0,00086;0,001197;;
187;16,827303;;16,827303;16,828165;0,000862;;;0,00086;-0,000481;-0,001341;;
188;16,828165;;16,828165;16,828167;2,00E-06;;;-0,000481;-0,001961;-0,00148;;
189;16,828167;;16,828167;16,82865;0,000483;;;-0,001961;-0,002521;-0,00056;;
190;16,82865;;16,82865;16,831094;0,002444;;;-0,002521;0,004962;0,007483;;
191;16,831094;;16,831094;16,836059;0,004965;;;0,004962;-0,000663;-0,005625;;
192;16,836059;;16,836059;16,836062;3,00E-06;;;-0,000663;-0,003644;-0,002981;;
193;16,836062;;16,836062;16,836728;0,000666;;;-0,003644;0,003934;0,007578;;
194;16,836728;;16,836728;16,841038;0,00431;;;0,003934;-0,004698;-0,008632;;
195;16,841038;;16,841038;16,841414;0,000376;;;-0,004698;0,004483;0,009181;;
196;16,841414;;16,841414;16,846488;0,005074;;;0,004483;-0,013933;-0,018416;;
197;16,846488;;16,846488;16,847079;0,000591;;;-0,013933;0,014521;0,028454;;
198;16,847079;;16,847079;16,861603;0,014524;;;0,014521;-0,000374;-0,014895;;
199;16,861603;;16,861603;16,861606;3,00E-06;;;-0,000374;0,000142;0,000516;;
200;16,861606;;16,861606;16,861983;0,000377;;;0,000142;-0,005661;-0,005803;;
201;16,861983;;16,861983;16,862218;0,000235;;;-0,005661;0,005418;0,011079;;
202;16,862218;;16,862218;16,868114;0,005896;;;0,005418;-0,000148;-0,005566;;
203;16,868114;;16,868114;16,868592;0,000478;;;-0,000148;0,00061;0,000758;;
204;16,868592;;16,868592;16,869218;0,000626;;;0,00061;1,40E-05;-0,000596;;
205;16,869218;;16,869218;16,869234;1,60E-05;;;1,40E-05;-0,000663;-0,000677;;
206;16,869234;;16,869234;16,869236;2,00E-06;;;-0,000663;-1,10E-05;0,000652;;
207;16,869236;;16,869236;16,869901;0,000665;;;-1,10E-05;-0,00351;-0,003499;;
208;16,869901;;16,869901;16,870577;0,000676;;;-0,00351;0,003728;0,007238;;
209;16,870577;;16,870577;16,874763;0,004186;;;0,003728;-0,000374;-0,004102;;
210;16,874763;;16,874763;16,875221;0,000458;;;-0,000374;0,000425;0,000799;;
211;16,875221;;16,875221;16,876053;0,000832;;;0,000425;-0,005984;-0,006409;;
212;16,876053;;16,876053;16,87646;0,000407;;;-0,005984;0,00548;0,011464;;
213;16,87646;;16,87646;16,882851;0,006391;;;0,00548;0,000531;-0,004949;;
214;16,882851;;16,882851;16,883762;0,000911;;;0,000531;-0,001611;-0,002142;;
215;16,883762;;16,883762;16,884142;0,00038;;;-0,001611;0,001361;0,002972;;
216;16,884142;;16,884142;16,886133;0,001991;;;0,001361;-0,005618;-0,006979;;
217;16,886133;;16,886133;16,886763;0,00063;;;-0,005618;0,005849;0,011467;;
218;16,886763;;16,886763;16,893011;0,006248;;;0,005849;-0,004284;-0,010133;;
219;16,893011;;16,893011;16,89341;0,000399;;;-0,004284;0,004029;0,008313;;
220;16,89341;;16,89341;16,898093;0,004683;;;0,004029;-0,001095;-0,005124;;
221;16,898093;;16,898093;16,898747;0,000654;;;-0,001095;0,000808;0,001903;;
222;16,898747;;16,898747;16,900496;0,001749;;;0,000808;-0,00148;-0,002288;;
223;16,900496;;16,900496;16,901437;0,000941;;;-0,00148;0,00242;0,0039;;
224;16,901437;;16,901437;16,903858;0,002421;;;0,00242;-0,000676;-0,003096;;
